,NOC,Name,Year,Sport,Medal
75065,RUS,Lyubov Vladimirovna Galkina,2004,Shooting,Gold
75066,RUS,Lyubov Vladimirovna Galkina,2008,Shooting,Silver
75078,URS,Vitaly Aleksandrovich Galkov,1968,Canoeing,Bronze
75080,USA,John Christopher Gall,2008,Baseball,Bronze
75086,USA,"Kimberly Ann ""Kim"" Gallagher",1984,Athletics,Silver
75087,USA,"Kimberly Ann ""Kim"" Gallagher",1988,Athletics,Bronze
75102,USA,"Vincent Joseph ""Vince"" Gallagher, Jr.",1920,Rowing,Gold
75120,ARG,Marcelo Daniel Gallardo,1996,Football,Silver
75122,PER,Miriam Gallardo,1988,Volleyball,Silver
75131,ITA,Ercole Gallegati,1932,Wrestling,Bronze
75134,ITA,Ercole Gallegati,1948,Wrestling,Bronze
75203,ITA,Valentino Gallo,2012,Water Polo,Silver
75204,ITA,Valentino Gallo,2016,Water Polo,Bronze
75210,USA,"Jacqueline ""Jackie"" Galloway",2016,Taekwondo,Bronze
75219,SUI,Nevin Galmarini,2014,Snowboarding,Silver
75229,RUS,Gleb Sergeyevich Galperin,2008,Diving,Bronze
75230,RUS,Gleb Sergeyevich Galperin,2008,Diving,Bronze
75234,RUS,Arsen Zhorayevich Galstyan,2012,Judo,Gold
75242,ITA,Rossano Galtarossa,1992,Rowing,Bronze
75244,ITA,Rossano Galtarossa,2000,Rowing,Gold
75245,ITA,Rossano Galtarossa,2004,Rowing,Bronze
75246,ITA,Rossano Galtarossa,2008,Rowing,Silver
75248,URS,Vera Illarionovna Galushka-Duyunova,1968,Volleyball,Gold
75249,URS,Vera Illarionovna Galushka-Duyunova,1972,Volleyball,Gold
75259,BRA,Mauro Geraldo Galvo,1984,Football,Silver
75266,AUS,Felicity Madeline Galvez,2008,Swimming,Gold
75267,AUS,Felicity Madeline Galvez,2008,Swimming,Gold
75283,PAR,Carlos Alberto Gamarra Pavon,2004,Football,Silver
75286,VEN,Pedro Jos Gamarro,1976,Boxing,Silver
75289,ITA,Ezio Gamba,1980,Judo,Gold
75290,ITA,Ezio Gamba,1984,Judo,Silver
75296,ARG,Anabel Gambero Erdozain,2000,Hockey,Silver
75302,ITA,Raffaello Gambino,1952,Water Polo,Bronze
75305,USA,Clarence Oliver Gamble,1904,Tennis,Bronze
75314,CUB,Yuriorkis Gamboa Toledano,2004,Boxing,Gold
75323,GBR,"Michael John ""Mike"" Gambrill",1956,Cycling,Bronze
75325,USA,Andre Peter Gambucci,1952,Ice Hockey,Silver
75353,TUN,Mohamad Tlili ben Abdallah Gammoudi,1964,Athletics,Silver
75354,TUN,Mohamad Tlili ben Abdallah Gammoudi,1968,Athletics,Gold
75355,TUN,Mohamad Tlili ben Abdallah Gammoudi,1968,Athletics,Bronze
75356,TUN,Mohamad Tlili ben Abdallah Gammoudi,1972,Athletics,Silver
75363,RUS,Yekaterina Aleksandrovna Gamova,2000,Volleyball,Silver
75364,RUS,Yekaterina Aleksandrovna Gamova,2004,Volleyball,Silver
75369,BLR,Dzhavid Shakirovich Gamzatov,2016,Wrestling,Bronze
75382,FRA,Henri Gance,1920,Weightlifting,Gold
75398,FRA,Georges Louis Gandil,1948,Canoeing,Bronze
75399,FRA,Georges Louis Gandil,1948,Canoeing,Bronze
75401,DEN,Johannes Gandil,1908,Football,Silver
75402,ITA,Carlo Gandini,1906,Fencing,Silver
75403,ITA,Franco Gandini,1956,Cycling,Gold
75408,AUT,Markus Gandler,1998,Cross Country Skiing,Silver
75412,ITA,Annapia Gandolfi,1988,Fencing,Silver
75413,ITA,Ferdinando Gandolfi,1992,Water Polo,Gold
75425,FRA,Laurent Jacques Andr Gan,2000,Cycling,Gold
75428,FRA,Laurent Jacques Andr Gan,2004,Cycling,Bronze
75443,URS,Marat Saidovich Ganeyev,1988,Cycling,Bronze
75445,RUS,Renal Ramilevich Ganeyev,2004,Fencing,Bronze
75462,KOR,Gang Cho-Hyeon,2000,Shooting,Silver
75471,KOR,Gang Geon-Uk,2000,Hockey,Silver
75484,KOR,Gang Hui-Chan,1992,Table Tennis,Bronze
75496,KOR,Gang Jae-Won,1988,Handball,Silver
75502,KOR,Gang Jun-Ho,1952,Boxing,Bronze
75513,KOR,Gang Min-Ho,2008,Baseball,Gold
75538,KOR,Gang Yun-Mi,2006,Short Track Speed Skating,Gold
75543,FRA,Franois Lucien Gangloff,1924,Gymnastics,Silver
75550,FRA,Franois Lucien Gangloff,1924,Gymnastics,Silver
75552,USA,Mark Daniel Gangloff,2004,Swimming,Gold
75554,USA,Mark Daniel Gangloff,2008,Swimming,Gold
75583,GDR,Diana Gansky (Sachse-),1988,Athletics,Silver
75584,BRA,"Paulo Henrique ""Ganso"" Chagas de Lima",2012,Football,Silver
75587,SUI,Burkhard Herbert Gantenbein,1936,Handball,Bronze
75608,FRA,Louis Charles Gantois,1952,Canoeing,Bronze
75620,GDR,Frank Ganzera,1972,Football,Bronze
75633,CHN,Gao E,2000,Shooting,Bronze
75636,CHN,Gao E,2004,Shooting,Bronze
75638,CHN,Gao Feng,2004,Judo,Bronze
75643,CHN,Gao Hong,1996,Football,Silver
75647,CHN,Gao Jing,2000,Shooting,Bronze
75648,CHN,Jun Gao (-Chang),1992,Table Tennis,Silver
75655,CHN,Gao Lei,2016,Trampolining,Bronze
75657,CHN,Gao Lihua,2008,Hockey,Silver
75661,CHN,Gao Ling,2000,Badminton,Gold
75662,CHN,Gao Ling,2000,Badminton,Bronze
75663,CHN,Gao Ling,2004,Badminton,Gold
75664,CHN,Gao Ling,2004,Badminton,Silver
75667,CHN,Gao Min,1988,Diving,Gold
75668,CHN,Gao Min,1992,Diving,Gold
75685,CHN,Gao Xiumin,1984,Handball,Bronze
75694,CHN,Gao Yulan,2008,Rowing,Silver
75704,FRA,Brigitte Gapais-Dumont,1976,Fencing,Silver
75705,URS,Emma Vasilyevna Gapchenko,1972,Archery,Bronze
75710,ESP,Rubn Garabaya Arenas,2008,Handball,Bronze
75723,ITA,Romano Garagnani,1968,Shooting,Silver
75728,FRA,Patrice Garande,1984,Football,Gold
75735,RUS,Yevgeny Aleksandrovich Garanichev,2014,Biathlon,Bronze
75738,URS,Ivan Ivanovich Garanin,1976,Cross Country Skiing,Bronze
75740,URS,Ivan Ivanovich Garanin,1976,Cross Country Skiing,Bronze
75741,CAN,Nancy Ellen Garapick,1976,Swimming,Bronze
75742,CAN,Nancy Ellen Garapick,1976,Swimming,Bronze
75743,AUS,Brendan James Garard,1996,Hockey,Bronze
75744,USA,Eleanor Agnes Garatti-Saville,1928,Swimming,Silver
75745,USA,Eleanor Agnes Garatti-Saville,1928,Swimming,Gold
75746,USA,Eleanor Agnes Garatti-Saville,1932,Swimming,Bronze
75747,USA,Eleanor Agnes Garatti-Saville,1932,Swimming,Gold
75751,ARG,Ezequiel Marcelo Garay Gonzlez,2008,Football,Gold
75752,BRA,Fernanda Garay Rodrigues,2012,Volleyball,Gold
75755,HUN,Jnos Garay,1924,Fencing,Bronze
75756,HUN,Jnos Garay,1924,Fencing,Silver
75757,HUN,Jnos Garay,1928,Fencing,Gold
75772,RUS,Yuliya Ravilyevna Garayeva,1996,Fencing,Bronze
75780,ESP,Jorge Joaqun Garbajosa Chaparro,2008,Basketball,Silver
75792,CUB,Rolando Garbey Garbey,1968,Boxing,Silver
75794,CUB,Rolando Garbey Garbey,1976,Boxing,Bronze
75800,GER,Monique Garbrecht-Enfeldt,1992,Speed Skating,Bronze
75806,GER,Monique Garbrecht-Enfeldt,2002,Speed Skating,Silver
75808,CAN,George Frederick Garbutt,1932,Ice Hockey,Gold
75809,URS,Gennady Varfolomeyevich Garbuzov,1952,Boxing,Bronze
75811,RUS,Sergey Nikolayevich Garbuzov,2000,Water Polo,Silver
75812,RUS,Sergey Nikolayevich Garbuzov,2004,Water Polo,Bronze
75813,CAN,Catherine Garceau,2000,Synchronized Swimming,Bronze
75857,CUB,Anier Octavio Garca Ortz,2000,Athletics,Gold
75858,CUB,Anier Octavio Garca Ortz,2004,Athletics,Bronze
76003,URU,Hctor Garca Otero,1952,Basketball,Bronze
76004,URU,Hctor Garca Otero,1956,Basketball,Bronze
76013,CUB,Hermenegildo Garca Marturell,1992,Fencing,Silver
76020,CUB,Ivn Garca Snchez,2000,Athletics,Bronze
76022,MEX,Ivn Alejandro Garca Navarro,2012,Diving,Silver
76028,ESP,Jaime Garca Cruz,1948,Equestrianism,Silver
76035,ESP,Javier Garca Chico,1992,Athletics,Bronze
76089,ESP,Jos Miguel Garca Meseguer,1980,Hockey,Silver
76092,ESP,Juan Garca Lorenzana,2008,Handball,Bronze
76111,ESP,Julio Garca Fernndez los Ros,1928,Equestrianism,Gold
76137,ESP,"Mara del Carmen ""Maica"" Garca Godoy",2012,Water Polo,Silver
76183,ESP,Nicols Garca Hemme,2012,Taekwondo,Silver
76191,CUB,Oscar Manuel Garca Prez,1992,Fencing,Silver
76193,CUB,Oscar Manuel Garca Prez,1996,Fencing,Bronze
76221,ESP,Pedro Francisco Garca Aguado,1992,Water Polo,Silver
76222,ESP,Pedro Francisco Garca Aguado,1996,Water Polo,Gold
76249,PER,Rosa Gisella Garca Rivas,1988,Volleyball,Silver
76253,GBR,Russell Simon Garcia,1988,Hockey,Gold
76262,ARG,"Agustina Soledad ""Sole"" Garca",2000,Hockey,Silver
76263,ARG,"Agustina Soledad ""Sole"" Garca",2004,Hockey,Bronze
76264,ARG,"Agustina Soledad ""Sole"" Garca",2008,Hockey,Bronze
76277,CUB,Vctor Garca Campos,1976,Volleyball,Bronze
76287,CRO,Xavier Garca Gadea,2016,Water Polo,Silver
76289,CUB,Yoel Garca Luis,2000,Athletics,Silver
76303,ESP,"Juan de Dios ""Juantxo"" Garca-Maurio Snchs",1996,Hockey,Silver
76310,FRA,Hubert Gardas,1980,Fencing,Gold
76322,GBR,Jason John Gardener,2004,Athletics,Gold
76326,FRA,Philippe Gardent,1992,Handball,Bronze
76328,FRA,Andr Gardre,1936,Fencing,Silver
76331,FRA,Edward Gardre,1932,Fencing,Gold
76333,FRA,Edward Gardre,1936,Fencing,Silver
76334,FRA,Edward Gardre,1936,Fencing,Silver
76338,FRA,Dominique Maximien Gardres,1900,Equestrianism,Gold
76343,SWE,Sven Anders Grderud,1976,Athletics,Gold
76349,SWE,Gsta Grdin,1948,Modern Pentathlon,Bronze
76363,GBR,J. A. Gardiner,1908,Sailing,Silver
76365,USA,"James Arthur ""Jim"" Gardiner",1956,Rowing,Silver
76373,BAH,Steven Gardiner,2016,Athletics,Bronze
76383,ITA,Andrea Gardini,1996,Volleyball,Silver
76384,ITA,Andrea Gardini,2000,Volleyball,Bronze
76390,USA,English Gardner,2016,Athletics,Gold
76392,USA,"Gabriel Bryan ""Gabe"" Gardner",2008,Volleyball,Gold
76398,WIF,Keith Alvin Saint Hope Gardner,1960,Athletics,Bronze
76401,GBR,Maureen Angela Jane Gardner (-Dyson),1948,Athletics,Silver
76414,USA,Rulon E. Gardner,2000,Wrestling,Gold
76415,USA,Rulon E. Gardner,2004,Wrestling,Bronze
76425,BUL,Prodan Stoyanov Gardzhev,1964,Wrestling,Gold
76426,BUL,Prodan Stoyanov Gardzhev,1968,Wrestling,Bronze
76428,CAN,France Gareau (-Foudy),1984,Athletics,Silver
76431,GER,Kerstin Garefrekes,2004,Football,Bronze
76432,GER,Kerstin Garefrekes,2008,Football,Bronze
76441,ITA,Camillo Gargano,1968,Sailing,Bronze
76443,ITA,Francesco Gargano,1920,Fencing,Gold
76450,GBR,"Nicolo ""Nicky"" Gargano",1956,Boxing,Bronze
76451,FRA,Denis Gargaud Chanut,2016,Canoeing,Gold
76456,GHA,Mohamed Gargo,1992,Football,Bronze
76463,ITA,Arianna Garibotti,2016,Water Polo,Silver
76476,FRA,Rene Germaine Madeleine Garilhe,1956,Fencing,Bronze
76505,USA,Sarah E. Garner,2000,Rowing,Bronze
76507,USA,Kevin Maurice Garnett,2000,Basketball,Gold
76511,FRA,Georges Garnier,1900,Football,Silver
76524,URS,Artrs Garonskis,1980,Rowing,Silver
76528,ITA,Daniele Garozzo,2016,Fencing,Gold
76531,ITA,Enrico Garozzo,2016,Fencing,Silver
76532,DEN,Torkild Garp,1912,Gymnastics,Silver
76540,ESP,Mateo Garralda Larumbe,1996,Handball,Bronze
76541,ESP,Mateo Garralda Larumbe,2000,Handball,Bronze
76543,ESP,Rafael Garralda Garre,1980,Hockey,Silver
76547,AUS,"Richard Edward ""Dick"" Garrard",1948,Wrestling,Silver
76554,BEL,Auguste Garrebeek,1936,Cycling,Bronze
76557,USA,"John Carlyle ""Johnny"" Garrels",1908,Athletics,Silver
76558,USA,"John Carlyle ""Johnny"" Garrels",1908,Athletics,Bronze
76562,USA,"Robert ""Bob"" Garrett",1896,Athletics,Silver
76563,USA,"Robert ""Bob"" Garrett",1896,Athletics,Silver
76564,USA,"Robert ""Bob"" Garrett",1896,Athletics,Gold
76565,USA,"Robert ""Bob"" Garrett",1896,Athletics,Gold
76566,USA,"Robert ""Bob"" Garrett",1900,Athletics,Bronze
76567,USA,"Robert ""Bob"" Garrett",1900,Athletics,Bronze
76575,USA,Zach Garrett,2016,Archery,Silver
76581,AUS,Murray Garretty,1956,Swimming,Gold
76582,ITA,Luca Garri,2004,Basketball,Silver
76601,USA,"Thomas Irvin ""Tom"" Garrigus",1968,Shooting,Silver
76604,USA,"John Bright ""Jack"" Garrison",1932,Ice Hockey,Silver
76605,USA,"John Bright ""Jack"" Garrison",1936,Ice Hockey,Bronze
76606,USA,Zina Lynna Garrison (-Jackson),1988,Tennis,Bronze
76607,USA,Zina Lynna Garrison (-Jackson),1988,Tennis,Gold
76641,SUI,"Arnold ""Noldi"" Gartmann",1936,Bobsleigh,Gold
76651,GBR,Arthur Stanley Garton,1912,Rowing,Gold
76664,ESP,Rodrigo Garza Barbero,2008,Hockey,Silver
76667,ITA,Enrico Garzelli,1932,Rowing,Silver
76668,ITA,Enrico Garzelli,1936,Rowing,Silver
76669,ITA,Edoardo Garzena,1920,Boxing,Bronze
76674,ITA,Andrea Gasbarroni,2004,Football,Bronze
76718,POL,Franciszek Gsienica Gro,1956,Nordic Combined,Bronze
76749,ESP,Marc Gasol Sez,2008,Basketball,Silver
76750,ESP,Marc Gasol Sez,2012,Basketball,Silver
76752,ESP,Pau Gasol Sez,2008,Basketball,Silver
76753,ESP,Pau Gasol Sez,2012,Basketball,Silver
76754,ESP,Pau Gasol Sez,2016,Basketball,Bronze
76779,ITA,Valentino Gasparella,1956,Cycling,Gold
76780,ITA,Valentino Gasparella,1960,Cycling,Bronze
76800,SUI,Selina Gasparin,2014,Biathlon,Silver
76828,FRA,Richard Gasquet,2012,Tennis,Bronze
76829,URS,Anushavan Rafayelovich Gassan-Dzhalilov,1976,Rowing,Bronze
76855,URS,Valery Dmitriyevich Gassy,1976,Handball,Gold
76875,HUN,Rbert Gtai,1988,Fencing,Bronze
76877,URS,Rodion Aksanovich Gataullin,1988,Athletics,Silver
76878,NZL,Aaron Gate,2012,Cycling,Bronze
76886,IND,Michael Anthony Gateley,1928,Hockey,Gold
76890,USA,"Gregory Crozier ""Greg"" Gates",1948,Rowing,Bronze
76901,AUS,"Terrence Steven ""Terry"" Gathercole",1960,Swimming,Silver
76902,USA,"James F. ""Jimmy"" Gathers",1952,Athletics,Bronze
76906,FRA,Jean-Philippe Gatien,1992,Table Tennis,Silver
76911,FRA,Jean-Philippe Gatien,2000,Table Tennis,Bronze
76917,USA,Justin Alexander Gatlin,2004,Athletics,Gold
76918,USA,Justin Alexander Gatlin,2004,Athletics,Bronze
76919,USA,Justin Alexander Gatlin,2004,Athletics,Silver
76920,USA,Justin Alexander Gatlin,2012,Athletics,Bronze
76922,USA,Justin Alexander Gatlin,2016,Athletics,Silver
76925,CUB,Idalmis Gato Moya,1992,Volleyball,Gold
76926,CUB,Idalmis Gato Moya,1996,Volleyball,Gold
76932,RUS,Khadzhimurat Soltanovich Gatsalov,2004,Wrestling,Gold
76936,USA,Jason Gatson,2004,Gymnastics,Silver
76966,ROU,Cristian Gau,1972,Handball,Bronze
76967,ROU,Cristian Gau,1976,Handball,Silver
76978,GDR,Hartwig Gauder,1980,Athletics,Gold
76979,GDR,Hartwig Gauder,1988,Athletics,Bronze
76993,FRA,Charles Andr Gaudin,1900,Rowing,Silver
76998,FRA,Lucien Alphonse Paul Gaudin,1920,Fencing,Silver
76999,FRA,Lucien Alphonse Paul Gaudin,1924,Fencing,Gold
77000,FRA,Lucien Alphonse Paul Gaudin,1924,Fencing,Gold
77001,FRA,Lucien Alphonse Paul Gaudin,1928,Fencing,Gold
77002,FRA,Lucien Alphonse Paul Gaudin,1928,Fencing,Silver
77003,FRA,Lucien Alphonse Paul Gaudin,1928,Fencing,Gold
77005,ITA,Giulio Gaudini,1928,Fencing,Bronze
77006,ITA,Giulio Gaudini,1928,Fencing,Gold
77007,ITA,Giulio Gaudini,1932,Fencing,Bronze
77008,ITA,Giulio Gaudini,1932,Fencing,Silver
77009,ITA,Giulio Gaudini,1932,Fencing,Silver
77010,ITA,Giulio Gaudini,1932,Fencing,Silver
77011,ITA,Giulio Gaudini,1936,Fencing,Gold
77012,ITA,Giulio Gaudini,1936,Fencing,Gold
77014,ITA,Giulio Gaudini,1936,Fencing,Silver
77019,AUS,Paul Charles Gaudoin,1996,Hockey,Bronze
77020,AUS,Paul Charles Gaudoin,2000,Hockey,Bronze
77024,CAN,"Donald Valentine ""Don"" Gauf",1952,Ice Hockey,Gold
77028,FRG,Heide-Elke Gaugel (-Hudak),1984,Athletics,Bronze
77030,DEN,Jean Ren Gauguin,1924,Art Competitions,Bronze
77038,USA,Scott Hunter Gault,2012,Rowing,Bronze
77040,FRA,Philippe Gaumont,1992,Cycling,Bronze
77068,FRA,Pierre Gauthier,1924,Sailing,Bronze
77072,FRA,"Henry Jean Guy ""Jean-Guy"" Gautier",1900,Rugby,Gold
77075,FRA,Roger Gautier,1952,Rowing,Silver
77080,SUI,Georges Harold Roger Gautschi,1924,Figure Skating,Bronze
77104,ESP,Artemi Gavezou Castro,2016,Rhythmic Gymnastics,Silver
77106,ESP,Marcelino Gaviln y Ponce de Len,1948,Equestrianism,Silver
77126,RUS,Anna Vitalyevna Gavrilenko,2008,Rhythmic Gymnastics,Gold
77128,URS,Yevgeny Mikhaylovich Gavrilenko,1976,Athletics,Bronze
77132,GRE,Anastasios Gavrilis,1980,Sailing,Bronze
77139,URS,Valentin Aleksandrovich Gavrilov,1968,Athletics,Bronze
77140,URS,Yury Vasilyevich Gavrilov,1980,Football,Bronze
77149,RUS,Yuliya Petrovna Gavrilova,2016,Fencing,Gold
77154,URS,Nina Vasilyevna Gavrylyuk,1988,Cross Country Skiing,Gold
77156,RUS,Nina Vasilyevna Gavrylyuk,1994,Cross Country Skiing,Bronze
77158,RUS,Nina Vasilyevna Gavrylyuk,1994,Cross Country Skiing,Gold
77161,RUS,Nina Vasilyevna Gavrylyuk,1998,Cross Country Skiing,Gold
77165,FRG,Monika Gawenus-Holzner-Pflug,1972,Speed Skating,Gold
77183,POL,Wiesaw Gawlikowski,1976,Shooting,Bronze
77196,POL,Wiesaw Stanisaw Gawowski,1976,Volleyball,Gold
77204,MEX,Juan lvaro Jos Gaxiola Robles,1968,Diving,Silver
77217,FRA,Richard Nicolas Gay,2002,Freestyle Skiing,Bronze
77226,UZB,Fazliddin Khasanbayevich Gaybnazarov,2016,Boxing,Gold
77230,RUS,Gaydarbek Abdulayevich Gaydarbekov,2000,Boxing,Silver
77231,RUS,Gaydarbek Abdulayevich Gaydarbekov,2004,Boxing,Gold
77233,BLR,Murad Zayrudinovich Gaydarov,2008,Wrestling,Bronze
77235,BUL,Milko Gaydarski,1968,Football,Silver
77250,CAN,"Thomas Franklin ""Tom"" Gayford",1968,Equestrianism,Gold
77253,CAN,Robyn Krista Gayle,2012,Football,Bronze
77255,GBR,"Herbert Henry ""Bert"" Gayler",1912,Cycling,Silver
77262,USA,"Mitchell Jay ""Mitch"" Gaylord",1984,Gymnastics,Gold
77264,USA,"Mitchell Jay ""Mitch"" Gaylord",1984,Gymnastics,Silver
77265,USA,"Mitchell Jay ""Mitch"" Gaylord",1984,Gymnastics,Bronze
77267,USA,"Mitchell Jay ""Mitch"" Gaylord",1984,Gymnastics,Bronze
77303,URS,Aleksandr Vasilyevich Gazov,1976,Shooting,Gold
77304,URS,Aleksandr Vasilyevich Gazov,1980,Shooting,Bronze
77320,URS,Valery Georgiyevich Gazzayev,1980,Football,Bronze
77325,ARG,Andrs Gazzotti,1936,Polo,Gold
77337,CIV,Ruth Marie Christelle Gbagbi,2016,Taekwondo,Bronze
77348,CHN,Ge Fei,1996,Badminton,Gold
77350,CHN,Ge Fei,2000,Badminton,Gold
77373,ROU,Ion Geant,1980,Canoeing,Silver
77397,SUI,Ernst Gebendinger,1952,Gymnastics,Silver
77409,USA,"Michael William ""Mike"" Gebhardt",1988,Sailing,Bronze
77410,USA,"Michael William ""Mike"" Gebhardt",1992,Sailing,Silver
77431,ETH,Dejen Gebremeskel,2012,Athletics,Silver
77435,ETH,Hagos Gebrhiwet Berhe,2016,Athletics,Bronze
77436,ETH,Haile Gebrselassie,1996,Athletics,Gold
77437,ETH,Haile Gebrselassie,2000,Athletics,Gold
77445,HUN,Erika Gczi,1988,Canoeing,Silver
77446,HUN,Istvn Gczi,1972,Football,Silver
77453,SWE,Per Olof Harald Gedda,1952,Sailing,Silver
77459,GBR,John Reuben Geddes,1956,Cycling,Bronze
77469,HUN,Gyrgy Ged,1972,Boxing,Gold
77474,HUN,Imre Gedvri,1980,Fencing,Bronze
77475,HUN,Imre Gedvri,1980,Fencing,Bronze
77477,HUN,Imre Gedvri,1988,Fencing,Gold
77478,RSA,Justin Gilberto Geduld,2016,Rugby Sevens,Bronze
77479,RUS,Aniuar Borisovich Geduyev,2016,Wrestling,Silver
77498,USA,"Charlotte Mosher ""Carlie"" Geer",1984,Rowing,Silver
77502,NED,"Piet Hein Willem ""Piet-Hein"" Geeris",2000,Hockey,Gold
77510,NED,"Antonius Johannes ""Anton"" Geesink",1964,Judo,Gold
77534,SUI,Hermann Gehri,1924,Wrestling,Gold
77539,GER,Georg Gehring,1928,Wrestling,Bronze
77547,USA,Lana Gehring,2010,Short Track Speed Skating,Bronze
77555,SUI,Oscar Arnold Geier,1932,Bobsleigh,Silver
77559,USA,John Francis Geiger,1900,Rowing,Gold
77572,NED,"Carolina Cornelia Catharina ""Carry"" Geijssen (-Langkruis)",1968,Speed Skating,Gold
77573,NED,"Carolina Cornelia Catharina ""Carry"" Geijssen (-Langkruis)",1968,Speed Skating,Silver
77582,ISL,Logi Eldon Geirsson,2008,Handball,Silver
77586,GER,Natalie Geisenberger,2010,Luge,Bronze
77587,GER,Natalie Geisenberger,2014,Luge,Gold
77588,GER,Natalie Geisenberger,2014,Luge,Gold
77598,GER,Ilse Geisler (-Vorspach),1964,Luge,Silver
77600,GDR,Ines Geiler (-Kaulfuss),1980,Swimming,Gold
77601,GER,Manfred Geisler,1964,Football,Bronze
77603,GER,Marco Geisler,2000,Rowing,Bronze
77612,GER,Hans-Gnter Geister,1952,Athletics,Bronze
77619,BLR,Nataliya Nikolayevna Gelakh,2004,Rowing,Bronze
77620,BLR,Nataliya Nikolayevna Gelakh,2008,Rowing,Bronze
77621,ETH,Erba Tiki Gelana,2012,Athletics,Gold
77637,GBR,Robert Alan Geldard,1948,Cycling,Bronze
77648,HUN,Jzsef Gelei,1964,Football,Gold
77651,TCH,Jn Geleta,1964,Football,Silver
77654,ITA,Deborah Gelisio,2000,Shooting,Silver
77656,FRA,Gell,1900,Water Polo,Bronze
77677,HUN,Imre Gellrt,1912,Gymnastics,Silver
77685,GDR,Manfred Gelpke,1968,Rowing,Silver
77694,TUR,Hasan Gemici,1952,Wrestling,Gold
77695,BRA,Alexandre Gemignani Ferreira,1948,Basketball,Bronze
77716,SUI,Alphonse Gemuseus,1924,Equestrianism,Gold
77717,SUI,Alphonse Gemuseus,1924,Equestrianism,Silver
77722,USA,"Frank ""Frankie"" Genaro (DiGennara-)",1920,Boxing,Gold
77725,GDR,Carsta Genu (-Khn),1980,Canoeing,Gold
77727,TUR,Necmi Genalp,1988,Wrestling,Silver
77744,GER,Martha Ludowika Genenger (-Engfeld),1936,Swimming,Silver
77751,ITA,Pietro Generali,1980,Basketball,Silver
77753,CAN,George Patrick Genereux,1952,Shooting,Gold
77754,ROU,Liliana Gene,1988,Rowing,Silver
77762,FRA,Paul Louis Marcel Genevay,1964,Athletics,Bronze
77780,ITA,Paolo Gennari,1928,Rowing,Bronze
77797,ITA,Pietro Genovesi,1928,Football,Bronze
77801,GER,Uwe Gensheimer,2016,Handball,Bronze
77803,USA,"Robert Steven ""Steve"" Genter",1972,Swimming,Silver
77804,USA,"Robert Steven ""Steve"" Genter",1972,Swimming,Silver
77805,USA,"Robert Steven ""Steve"" Genter",1972,Swimming,Gold
77809,FRA,Pascal Guy Gentil,2000,Taekwondo,Bronze
77810,FRA,Pascal Guy Gentil,2004,Taekwondo,Bronze
77818,ITA,Giuseppe Gentile,1968,Athletics,Bronze
77820,ITA,Mario Gentili,1936,Cycling,Silver
77823,USA,"James Cuthbert ""Jimmy"" Gentle",1932,Hockey,Bronze
77832,SWE,Inga Kristina Gentzel (-Dahlgren),1928,Athletics,Bronze
77834,SWE,Hans Peter Ludvig Gentzel,2000,Handball,Silver
77845,GER,Harald Genzmer,1936,Art Competitions,Bronze
77846,FRA,Charles Louis Prosper Guyot,1924,Art Competitions,Gold
77864,GRE,Nikolaos P. Georgantas,1904,Athletics,Bronze
77865,GRE,Nikolaos P. Georgantas,1906,Athletics,Gold
77866,GRE,Nikolaos P. Georgantas,1906,Athletics,Silver
77867,GRE,Nikolaos P. Georgantas,1906,Athletics,Silver
77874,GRE,Ioannis Georgas,1906,Rowing,Gold
77877,GRE,Maria Georgatou,2000,Rhythmic Gymnastics,Bronze
77879,AUS,Bevan Christopher George,2004,Hockey,Gold
77880,AUS,Bevan Christopher George,2008,Hockey,Bronze
77884,USA,"Christopher Coleman ""Chris"" George",2000,Baseball,Gold
77895,BEL,Henry George,1920,Cycling,Gold
77899,USA,"James D. ""Jim"" George",1956,Weightlifting,Bronze
77900,USA,"James D. ""Jim"" George",1960,Weightlifting,Silver
77906,ZIM,Maureen Jean George,1980,Hockey,Gold
77908,USA,Paul George,2016,Basketball,Gold
77909,USA,"Peter T. ""Pete"" George",1948,Weightlifting,Silver
77910,USA,"Peter T. ""Pete"" George",1952,Weightlifting,Gold
77911,USA,"Peter T. ""Pete"" George",1956,Weightlifting,Silver
77920,GBR,Rowland David George,1932,Rowing,Gold
77944,ROU,Elena Georgescu-Nedelcu,1992,Rowing,Silver
77945,ROU,Elena Georgescu-Nedelcu,1996,Rowing,Gold
77946,ROU,Elena Georgescu-Nedelcu,2000,Rowing,Gold
77947,ROU,Elena Georgescu-Nedelcu,2004,Rowing,Gold
77948,ROU,Elena Georgescu-Nedelcu,2008,Rowing,Bronze
77954,FRA,Pierre Lon Gaston Georget,1936,Cycling,Silver
77955,FRA,Pierre Lon Gaston Georget,1936,Cycling,Bronze
77957,GRE,Ioannis Georgiadis,1896,Fencing,Gold
77960,GRE,Ioannis Georgiadis,1906,Fencing,Gold
77961,GRE,Ioannis Georgiadis,1906,Fencing,Silver
77967,BUL,Boris Metodiev Georgiev,2004,Boxing,Bronze
77976,BUL,Georgi Angelov Georgiev,2004,Judo,Bronze
77987,BUL,Ivaylo Nikolov Georgiev,1968,Football,Silver
78025,BUL,"Ani ""Anka"" Georgieva (Eftimova-)",1980,Rowing,Bronze
78036,BUL,Kapka Georgieva (-Panayotova),1976,Rowing,Silver
78039,BUL,Magdalena Stoyanova Georgieva,1988,Rowing,Bronze
